ID,sex,GMSFwant,GMSfneed,GMSFurge,GMSFdoing,GMSFhow,GMSFgood,GMSFbetter,GMSFworse,GMSFsucceed,GMSFpast,GMSFthought,GMSFremind,GMSFgrab,GMSFkeep,GA1,GA2,GA3,GA4,GA5,GA6,GA7,GA8,GT1,GT2,GT3,GT4,GF1,GF2,GF3,GF4,GSE1,GSE2,GSE3,GR1,GR2,GR3,walktimes,wlakhr,walkm,vittimes,vighr,vigm,modtimes,modhr,modm,vigmin,MTFint,MTFIncImag,MTFSEImag,MTFavail,EIIAH,EIITech,EIIFeel,EIISE,EIIRout,EIIMotiv,EIICognitive,EIIT
20,1,7,9,7,5,6,7,7,5,8,6,6,6,6,7,7,7,7,7,7,7,7,6,1,3,3,1,3,7,2,7,7,6,7,1,1,2,7,1,NA,3,2,0,0,0,NA,120,23,25,19,18,55,8,19,20,4,80.63,10.12,106
21,2,6,2,6,7,2,3,1,3,3,5,3,4,4,3,2,3,3,5,1,3,3,4,4,4,5,2,5,3,2,4,5,2,1,4,3,2,35,6,0,5,1,30,4,2,NA,90,14,17,7,11,24,15,14,8,9,39.76,20.4,70
22,1,8,10,2,7,7,4,9,2,5,7,5,5,1,4,7,2,1,7,7,7,6,1,1,1,3,1,6,6,5,1,1,3,1,3,1,2,7,5,20,0,0,0,4,3,40,0,20,26,15,11,38,6,18,5,6,51.99,10.44,73
23,1,8,8,8,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,2,4,4,3,3,3,3,3,2,4,1,4,3,2,4,2,1,4,30,25,NA,0,0,0,1,2,NA,0,24,4,3,3,28,12,11,9,7,41.17,16.13,67
24,2,8,10,5,7,8,9,9,6,6,7,5,6,1,1,5,5,4,6,4,5,4,1,1,NA,1,1,5,1,6,2,2,1,1,4,5,1,6,2,10,1,1,0,0,0,NA,60,23,28,24,12,34,4,14,4,10,44.14,12.66,66
25,1,8,8,8,6,6,5,8,8,5,3,3,3,3,3,6,6,6,5,6,6,6,6,3,4,3,5,6,5,5,3,5,4,4,5,3,4,7,1,10,3,1,0,0,1,NA,60,24,20,21,9,47,15,19,13,12,67.64,23.25,106
26,2,9,10,10,7,8,10,10,7,9,10,9,9,9,10,6,6,6,6,7,7,7,6,6,6,3,6,6,6,6,6,7,7,6,6,6,6,12,2,35,5,4,30,0,0,0,270,29,34,27,27,51,21,24,20,18,81.99,33.69,134
27,2,8,9,8,10,9,8,8,9,9,9,9,9,9,9,5,2,2,6,1,6,5,2,2,2,2,2,6,4,6,3,6,2,5,2,2,2,4,1,0,2,0,50,0,0,0,50,25,37,25,27,29,8,19,13,6,53.06,12.02,75
28,1,1,6,4,3,3,4,6,4,4,1,1,1,1,1,4,5,5,5,5,5,6,6,3,4,5,3,4,5,5,3,1,4,2,4,3,3,25,8,0,0,0,0,0,0,0,0,11,11,14,3,41,15,17,7,10,55.36,21.35,90
29,1,6,8,6,6,5,8,7,6,5,6,NA,6,6,6,7,7,7,6,3,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,20,22,21,18,51,12,12,9,13,60.72,21.83,97
30,1,5,5,5,5,5,7,8,8,5,1,5,5,5,5,6,7,6,7,7,6,7,5,3,4,2,3,5,6,6,4,7,2,1,6,3,4,12,3,30,2,1,45,1,NA,45,105,15,16,23,15,51,12,21,10,13,69.93,21.83,107
31,2,8,4,9,8,9,11,11,5,9,4,8,3,5,9,5,3,3,5,3,5,5,3,3,2,2,2,3,5,5,2,2,2,2,2,2,2,4,2,NA,5,7,0,0,0,NA,420,21,30,27,16,32,9,15,6,6,45.3,12.81,68
32,1,5,8,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,6,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,7,30,6,5,30,0,0,NA,330,14,4,3,3,29,4,4,3,3,29.96,6.01,43
33,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,30,0,0,0,0,0,0,0,4,5,3,3,11,4,4,3,3,15.38,6.01,25
34,1,8,NA,5,7,7,3,9,9,4,9,9,2,8,4,7,4,6,6,5,7,6,6,3,4,3,5,7,6,7,5,NA,6,7,5,3,2,12,7,NA,6,6,0,2,1,NA,360,19.5,27,21,19,47,15,25,19.5,10,79.205,21.35,116.5
35,2,7,8,6,3,3,2,3,1,2,1,5,5,5,2,3,1,1,2,1,3,2,1,2,1,3,1,2,2,2,3,2,1,2,3,1,1,6,3,50,2,1,0,2,NA,20,60,21,9,6,15,14,7,9,5,5,24.27,10.28,40
36,1,8,9,6,7,8,8,9,9,7,8,8,9,9,6,6,4,6,6,5,6,6,6,3,3,3,3,4,6,4,5,6,4,4,3,3,3,5,5,NA,4,3,0,0,0,NA,180,23,30,26,26,45,12,19,14,9,66.95,18.03,99
37,1,6,6,8,8,8,8,8,8,8,8,8,8,8,10,5,6,5,5,5,6,5,5,3,5,3,3,3,6,3,5,5,3,5,5,3,3,15,9,NA,3,3,0,NA,0,NA,180,20,32,24,24,42,14,17,13,11,61.75,21.51,97
